typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20140101","2014","52","2014","68","BOL","Bolivia (Plurinational State of)","M","Import","156","CHN","China","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","1","false","8","kg","1","false","1","false",,"false","29.89","5","29.89","0","false","true",
"C","A","20140101","2014","52","2014","70","BIH","Bosnia Herzegovina","M","Import","0","W00","World","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","130000","false","-1","N/A",,"false","130000","false",,"false","514275",,"514275","0","true","false",
"C","A","20140101","2014","52","2014","70","BIH","Bosnia Herzegovina","M","Import","40","AUT","Austria","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","80000","false","-1","N/A",,"false","80000","false",,"false","316568",,"316568","0","true","false",
"C","A","20140101","2014","52","2014","70","BIH","Bosnia Herzegovina","M","Import","380","ITA","Italy","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","50000","false","-1","N/A",,"false","50000","false",,"false","197707",,"197707","0","true","false",
"C","A","20140101","2014","52","2014","72","BWA","Botswana","M","Import","0","W00","World","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","95.4","false","8","kg","95.4","false","95.4","false","0","false","9173.337",,"9173.337","0","false","true",
"C","A","20140101","2014","52","2014","72","BWA","Botswana","M","Import","579","NOR","Norway","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3.4","false","8","kg","3.4","false","3.4","false","0","false","322.793",,"322.793","0","false","true",
"C","A","20140101","2014","52","2014","72","BWA","Botswana","M","Import","710","ZAF","South Africa","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","92","false","8","kg","92","false","92","false","0","false","8850.543",,"8850.543","0","false","true",
"C","A","20140101","2014","52","2014","76","BRA","Brazil","M","Import","0","W00","World","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","496331022.456","true","8","kg","496330843","false","496331022.456","true","0","false","981840841","966738828","981840841","6","false","true",
"C","A","20140101","2014","52","2014","76","BRA","Brazil","M","Import","124","CAN","Canada","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10671300","false","8","kg","10671300","false","10671300","false","0","false","22858996","22159018","22858996","0","false","true",
"C","A","20140101","2014","52","2014","76","BRA","Brazil","M","Import","152","CHL","Chile","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","406656230","false","8","kg","406656230","false","406656230","false","0","false","786359758","774490050","786359758","0","false","true",
