typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20040101","2004","52","2004","44","BHS","Bahamas","M","Import","842","USA","USA","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2042","false","-1","N/A",,"false","2042","false",,"false","3942",,"3942","0","true","false",
"C","A","20040101","2004","52","2004","48","BHR","Bahrain","M","Import","0","W00","World","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4564","false","-1","N/A",,"false","4564","false",,"false","2811",,"2811","0","true","false",
"C","A","20040101","2004","52","2004","48","BHR","Bahrain","M","Import","682","SAU","Saudi Arabia","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4550","false","-1","N/A",,"false","4550","false",,"false","1872",,"1872","0","true","false",
"C","A","20040101","2004","52","2004","48","BHR","Bahrain","M","Import","842","USA","USA","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","14","false","-1","N/A",,"false","14","false",,"false","939",,"939","0","true","false",
"C","A","20040101","2004","52","2004","50","BGD","Bangladesh","M","Import","0","W00","World","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10416","false","-1","N/A",,"false","10416","false",,"false","4989",,"4989","0","true","false",
"C","A","20040101","2004","52","2004","50","BGD","Bangladesh","M","Import","410","KOR","Rep. of Korea","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10410","false","-1","N/A",,"false","10410","false",,"false","4953",,"4953","0","true","false",
"C","A","20040101","2004","52","2004","50","BGD","Bangladesh","M","Import","764","THA","Thailand","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6","false","-1","N/A",,"false","6","false",,"false","36",,"36","0","true","false",
"C","A","20040101","2004","52","2004","52","BRB","Barbados","M","Import","0","W00","World","0","W00","World","H1","HS","true","280519","Alkali metals; other than sodium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","431","false","-1","N/A",,"false","431","false",,"false","2776",,"2776","0","false","false",
"C","A","20040101","2004","52","2004","52","BRB","Barbados","M","Import","842","USA","USA","0","W00","World","H1","HS","true","280519","Alkali metals; other than sodium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","431","false","-1","N/A",,"false","431","false",,"false","2776",,"2776","0","false","false",
"C","A","20040101","2004","52","2004","56","BEL","Belgium","M","Import","0","W00","World","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","128945","false","-1","N/A",,"false","128945","false",,"false","660143",,"660143","0","true","false",
"C","A","20040101","2004","52","2004","56","BEL","Belgium","M","Import","156","CHN","China","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","84000","false","-1","N/A",,"false","84000","false",,"false","390879",,"390879","0","true","false",
"C","A","20040101","2004","52","2004","56","BEL","Belgium","M","Import","251","FRA","France","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5025","false","-1","N/A",,"false","5025","false",,"false","27303",,"27303","0","true","false",
"C","A","20040101","2004","52","2004","56","BEL","Belgium","M","Import","276","DEU","Germany","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","22331","false","-1","N/A",,"false","22331","false",,"false","60608",,"60608","0","true","false",
"C","A","20040101","2004","52","2004","56","BEL","Belgium","M","Import","528","NLD","Netherlands","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6480","false","-1","N/A",,"false","6480","false",,"false","10918",,"10918","0","true","false",
